TimeSeconds,Power [W],CumulativeEnergy,Status
335.0,0.99,345.69000000000057,At Work (In the Office)
336.0,0.99,346.6800000000006,At Work (In the Office)
337.0,1.06,347.7400000000006,At Work (In the Office)
338.0,1.0,348.7400000000006,At Work (In the Office)
339.0,1.02,349.76000000000056,At Work (In the Office)
340.0,1.24,351.00000000000057,At Work (In the Office)
341.0,1.16,352.1600000000006,At Work (In the Office)
342.0,1.11,353.2700000000006,At Work (In the Office)
343.0,1.05,354.3200000000006,At Work (In the Office)
344.0,1.13,355.4500000000006,At Work (In the Office)
345.0,1.04,356.49000000000063,At Work (In the Office)
346.0,0.975,357.46500000000066,At Work (In the Office)
347.0,1.13,358.59500000000065,At Work (In the Office)
348.0,0.985,359.58000000000067,At Work (In the Office)
349.0,0.995,360.57500000000067,At Work (In the Office)
350.0,1.05,361.6250000000007,At Work (In the Office)
351.0,0.975,362.6000000000007,At Work (In the Office)
352.0,1.02,363.6200000000007,At Work (In the Office)
353.0,0.97,364.5900000000007,At Work (In the Office)
354.0,1.01,365.6000000000007,At Work (In the Office)
355.0,1.16,366.76000000000073,At Work (In the Office)
356.0,0.985,367.74500000000074,At Work (In the Office)
357.0,0.99,368.73500000000075,At Work (In the Office)
358.0,1.04,369.7750000000008,At Work (In the Office)
359.0,0.99,370.7650000000008,At Work (In the Office)
360.0,1.04,371.8050000000008,At Work (In the Office)
361.0,0.99,372.7950000000008,At Work (In the Office)
362.0,0.99,373.7850000000008,At Work (In the Office)
363.0,1.16,374.94500000000085,At Work (In the Office)
364.0,0.99,375.93500000000085,At Work (In the Office)
365.0,0.975,376.9100000000009,At Work (In the Office)
366.0,0.995,377.9050000000009,At Work (In the Office)
367.0,1.0,378.9050000000009,At Work (In the Office)
368.0,1.04,379.9450000000009,At Work (In the Office)
369.0,1.04,380.9850000000009,At Work (In the Office)
370.0,0.97,381.95500000000095,At Work (In the Office)
371.0,1.17,383.12500000000097,Not at Work Bluetooth
372.0,0.99,384.115000000001,Not at Work Bluetooth
373.0,1.2,385.31500000000096,Not at Work Bluetooth
374.0,1.01,386.32500000000095,Not at Work Bluetooth
375.0,0.985,387.31000000000097,Not at Work
376.0,0.99,388.300000000001,Not at Work
377.0,0.975,389.275000000001,Not at Work
378.0,0.99,390.265000000001,Not at Work
379.0,1.05,391.315000000001,Not at Work
380.0,0.975,392.29000000000104,Not at Work
381.0,1.04,393.33000000000106,Not at Work
382.0,0.97,394.3000000000011,Not at Work
383.0,1.01,395.3100000000011,Not at Work
384.0,1.04,396.3500000000011,Not at Work
385.0,1.02,397.3700000000011,Not at Work
386.0,0.99,398.3600000000011,Not at Work
387.0,0.975,399.3350000000011,Not at Work
388.0,0.99,400.3250000000011,Not at Work
389.0,0.985,401.31000000000114,Not at Work
390.0,1.01,402.32000000000113,Not at Work
391.0,1.01,403.3300000000011,Not at Work
392.0,1.04,404.37000000000114,Not at Work
393.0,0.99,405.36000000000115,Not at Work
